1,Barbell Squat,
2,Deadlift,
3,Barbell Bench,
4,Dumbbell Bench,
5,Bayesian Curls,"Set a cable with a handle attachment to roughly hand height. Then, facing away from the cable pulley, take a step forward so that you are leaning at a ~45 degree angle. Then perform a curl as normal, with your elbow fixed at your side."
8,Hang Clean,
9,Bulgarian Split Squat,
10,Lat Pulldown,
11,Seated Cable Row,
12,Dumbbell Curl,
13,Rear Delt Fly,
14,Forearm Curl (Smith Machine),
16,Goblet Squat,
17,Incline Barbell Bench Press,
18,Dumbbell Skullcrusher,
19,Shoulder Press (Machine),
20,Dumbbell Lateral Raise,
21,Nordic Hamstring Curl,
